transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
18,LTO10,DEVILS,2017,7/13/2017,10,Lobophytum ,30,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,12.5,Lobophytum ,5,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,15,Pocillopora,15,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,17.5,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,20,Lobophytum ,5,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,22.5,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,25,Sinularia,10,Lobophytum,3,Favites,2,Heteractis magnifica,40
19,LTO10,DEVILS,2017,7/14/2017,0,NA,0,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,2.5,Porites,0.5,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,5,NA,0,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,7.5,NA,0,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,10,Porites,1,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,12.5,NA,0,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,15,Favites,1,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,17.5,Favites,3,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,20,NA,0,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,22.5,Porites,2,NA,0,NA,0,NA,0
19,LTO10,DEVILS,2017,7/14/2017,25,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,0,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,2.5,Oulophyllia,4,Favites,1,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,5,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,7.5,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,10,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,12.5,Cladiella,9,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,15,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,17.5,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,20,Lobophytum ,2,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,22.5,NA,0,NA,0,NA,0,NA,0
20,LTO10,DEVILS,2017,7/14/2017,25,NA,0,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,0,Lobophytum ,4,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,2.5,Lobophytum ,2,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,5,Lobophytum ,1,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,7.5,Porites,10,Lobophytum,4,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,10,NA,0,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,12.5,Porites,70,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,15,NA,0,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,17.5,Cladiella,3,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,20,NA,0,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,22.5,NA,0,NA,0,NA,0,NA,0
21,LTO13,PAO,2017,7/18/2017,25,Lobophytum ,77,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,0,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,2.5,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,5,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,7.5,Lobophytum ,38,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,10,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,12.5,Lobophytum ,1,Favites ,3,Porites,18,NA,0
22,LTO10,DEVILS,2017,7/19/2017,15,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,17.5,NA,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,20,Sinularia,0,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,22.5,Dendronephthya,8,NA,0,NA,0,NA,0
22,LTO10,DEVILS,2017,7/19/2017,25,NA,0,NA,0,NA,0,NA,0
